file,speaker,duration,silence_duration,silence_intensity,s_intensity,no_surrounding_silence,has_s,audio_peaked,primary_environment_count,secondary_environment_count,UWUH_L,sil_HH,sil_F,F_sil,W_UWUH,TH_sil,vowel_vowel,V_sil,sil_TH,vowel_R,Y_vowel,vowel_D_vowel,vowel_L,vowel_sil,sil_DH,vowel_T_vowel,DH_sil,L_vowel,R_vowel,sil_V,Y_UWUH,W_vowel,sil_SSH,AE_R,AY_R,nonsilence_count,ER_R,nasal_vowel,sil_ZZH,AA_R,silence_count,sil_PTK,UH_R,IY_R,AO_R,UW_R,OW_R,AW_R,EH_R,sil_BDG,AH_R,vowel_PK_vowel,vowel_BG_vowel,vowel_nasal,IH_R,EY_R,phones_per_second,snr,weighting
1995-1837-0004,1995,6.36,0.8800000000000002,39.135353,NA,FALSE,FALSE,FALSE,7,3,0,1,0,0,0,0,2,0,0,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,49,0,5,0,0,5,0,0,0,2,0,0,0,2,0,0,1,0,6,0,0,8.941605839416058,NA,8.5
8463-294828-0016,8463,3.295,0.8450000000000001,31.359768,54.518047,FALSE,TRUE,FALSE,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26,0,3,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,10.612244897959185,23.158279000000004,2.5
7021-79730-0000,7021,2.44,0.72,10.122525,NA,FALSE,FALSE,FALSE,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,20,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11.627906976744185,NA,1
260-123286-0010,260,2.575,1.145,-2.1463692,58.454662,FALSE,TRUE,FALSE,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,18,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,12.587412587412587,60.6010312,1.5
7127-75946-0029,7127,9.285,1.875,39.317944,61.02055,FALSE,TRUE,FALSE,3,16,0,1,0,0,0,0,2,0,0,0,0,0,5,0,1,1,0,2,5,0,0,2,0,0,0,92,0,2,0,0,5,1,0,0,0,0,0,0,0,0,0,5,0,11,0,0,12.415654520917679,21.702606000000003,11
8555-284449-0019,8555,7.61,1.3700000000000008,23.772442,51.356777,FALSE,TRUE,FALSE,2,11,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,1,0,3,2,0,0,2,0,0,0,85,0,2,0,0,5,2,0,0,1,0,0,0,0,0,0,2,0,10,0,0,13.621794871794874,27.584335,7.5
5683-32879-0024,5683,2.37,0.55,28.644053,61.467716,FALSE,TRUE,FALSE,1,7,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.79120879120879,32.823663,4.5
4970-29093-0007,4970,6.995,1.7050000000000003,0.6184306,53.929035,FALSE,TRUE,FALSE,1,11,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,3,0,3,0,0,1,0,0,0,0,59,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,11.1531190926276,53.310604399999995,6.5
6829-68769-0051,6829,3.545,0.615,28.916195,58.11189,FALSE,TRUE,FALSE,1,7,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,2,0,1,1,0,0,0,38,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,12.969283276450513,29.195695000000004,4.5
2961-960-0015,2961,7.83,1.7200000000000004,36.19379,51.47516,FALSE,TRUE,FALSE,4,13,0,0,0,0,0,0,3,1,0,0,0,0,2,1,1,3,0,5,1,0,0,0,0,0,0,66,0,3,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,10.801963993453356,15.281370000000003,10.5
