file,speaker,duration,silence_duration,silence_intensity,s_intensity,no_surrounding_silence,has_s,audio_peaked,primary_environment_count,secondary_environment_count,UWUH_L,sil_HH,sil_F,F_sil,W_UWUH,TH_sil,vowel_vowel,V_sil,sil_TH,vowel_R,Y_vowel,vowel_D_vowel,vowel_L,vowel_sil,sil_DH,vowel_T_vowel,DH_sil,L_vowel,R_vowel,sil_V,Y_UWUH,W_vowel,sil_SSH,AE_R,AY_R,nonsilence_count,ER_R,nasal_vowel,sil_ZZH,AA_R,silence_count,sil_PTK,UH_R,IY_R,AO_R,UW_R,OW_R,AW_R,EH_R,sil_BDG,AH_R,vowel_PK_vowel,vowel_BG_vowel,vowel_nasal,IH_R,EY_R,phones_per_second,snr,weighting
1995-1837-0000,1995,3.865,0.5750000000000004,39.898952,58.406235,FALSE,TRUE,FALSE,5,4,0,2,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,37,0,2,0,0,4,0,0,1,1,0,0,0,0,1,0,0,0,3,0,0,11.246200607902736,18.507283,7
8455-210777-0054,8455,2.52,0.7499999999999998,36.24084,NA,FALSE,FALSE,FALSE,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,2,1,0,0,0,0,0,0,16,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.039548022598868,NA,4
1284-1180-0020,1284,5.87,0.63,36.435066,55.531982,FALSE,TRUE,FALSE,2,12,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,2,0,5,0,0,0,2,0,0,0,66,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,12.595419847328245,19.096916,8
8555-284449-0020,8555,5.095,0.5050000000000001,24.348417,56.856094,FALSE,TRUE,FALSE,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,58,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,12.636165577342048,32.507677,2.5
7021-79740-0012,7021,3.26,0.9199999999999994,4.575479,52.23403,FALSE,TRUE,FALSE,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,24,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10.256410256410255,47.658550999999996,1.5
5142-36586-0001,5142,2.215,0.4049999999999998,35.780758,52.086628,FALSE,TRUE,FALSE,3,5,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,1,0,1,0,0,0,1,1,0,0,21,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11.602209944751381,16.30587,5.5
1284-1180-0029,1284,5.335,0.7450000000000001,39.090504,56.90021,FALSE,TRUE,FALSE,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,1,1,0,0,56,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,4,0,0,12.200435729847495,17.809706,3.5
672-122797-0071,672,8.875,1.405,39.461773,61.908924,FALSE,TRUE,FALSE,4,14,0,0,0,0,0,0,1,0,0,3,1,1,1,1,0,1,0,2,5,0,0,2,0,0,0,89,0,3,0,1,3,0,0,0,1,0,0,0,1,0,0,1,0,9,0,0,11.914323962516734,22.447150999999998,11
4446-2273-0026,4446,1.95,0.31000000000000005,32.888332,NA,FALSE,FALSE,FALSE,2,6,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,2,0,0,0,0,22,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,13.414634146341465,NA,5
6829-68771-0004,6829,8.44,1.5299999999999991,30.061777,62.121563,FALSE,TRUE,FALSE,7,12,0,0,0,0,0,0,3,0,0,4,0,0,3,0,0,2,0,2,4,0,0,1,0,0,0,96,0,5,0,0,4,0,1,0,2,0,0,0,1,1,0,3,1,9,0,0,13.892908827785817,32.059786,13
