file,speaker,duration,silence_duration,silence_intensity,s_intensity,no_surrounding_silence,has_s,audio_peaked,primary_environment_count,secondary_environment_count,UWUH_L,sil_HH,sil_F,F_sil,W_UWUH,TH_sil,vowel_vowel,V_sil,sil_TH,vowel_R,Y_vowel,vowel_D_vowel,vowel_L,vowel_sil,sil_DH,vowel_T_vowel,DH_sil,L_vowel,R_vowel,sil_V,Y_UWUH,W_vowel,sil_SSH,AE_R,AY_R,nonsilence_count,ER_R,nasal_vowel,sil_ZZH,AA_R,silence_count,sil_PTK,UH_R,IY_R,AO_R,UW_R,OW_R,AW_R,EH_R,sil_BDG,AH_R,vowel_PK_vowel,vowel_BG_vowel,vowel_nasal,IH_R,EY_R,phones_per_second,snr,weighting
8230-279154-0013,8230,14.56,1.72,24.101376,53.79737,FALSE,TRUE,FALSE,13,18,0,1,1,0,0,0,5,1,0,5,4,0,7,1,1,0,0,1,1,0,0,3,1,0,0,140,0,12,0,3,10,1,0,0,2,0,0,0,0,0,0,2,0,16,0,0,10.903426791277258,29.695994000000002,22
2961-961-0019,2961,12.255,2.0450000000000017,22.117046,50.003414,FALSE,TRUE,FALSE,9,20,0,0,1,0,0,0,5,0,0,3,0,1,5,3,0,3,0,3,3,0,0,2,1,0,0,119,0,3,0,0,7,0,0,1,1,0,0,0,1,0,0,4,1,11,0,0,11.655239960822724,27.886368,19
2094-142345-0009,2094,14.405,3.164999999999995,47.485294,63.05406,FALSE,TRUE,FALSE,7,24,0,1,1,0,0,0,1,0,0,4,0,3,3,4,1,3,0,2,4,0,0,4,0,0,0,144,0,5,0,2,10,0,0,0,1,0,0,0,1,0,0,2,3,14,0,0,12.811387900355868,15.568765999999997,19
1221-135767-0011,1221,16.51,2.2600000000000016,39.754734,60.41011,FALSE,TRUE,FALSE,11,25,1,1,1,0,0,0,5,1,0,2,1,2,4,1,0,3,0,4,5,0,0,5,1,0,0,172,0,5,0,1,11,0,1,0,0,0,0,0,0,0,0,3,3,17,0,0,12.070175438596491,20.655376000000004,23.5
1284-134647-0001,1284,10.275,1.7250000000000008,43.228893,56.147697,FALSE,TRUE,FALSE,7,21,0,1,0,0,0,0,4,0,0,2,0,1,5,0,3,0,0,5,5,0,0,2,0,0,0,112,0,3,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,13.099415204678364,12.918804000000002,17.5
4077-13751-0012,4077,12.015,2.875000000000002,47.124264,64.47348,FALSE,TRUE,FALSE,5,23,0,1,0,0,0,0,2,0,0,2,0,1,4,3,1,3,0,2,4,0,2,3,0,0,0,129,0,8,0,0,8,0,0,0,1,0,0,0,0,0,0,2,3,12,1,0,14.113785557986873,17.349216,16.5
5105-28241-0019,5105,5.29,1.0799999999999998,40.69911,60.7297,FALSE,TRUE,FALSE,3,5,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,60,0,4,0,0,3,0,0,0,2,0,0,0,0,0,0,2,2,8,0,0,14.251781472684085,20.030590000000004,5.5
4446-2273-0034,4446,3.59,0.6699999999999997,27.46655,58.86808,FALSE,TRUE,FALSE,3,10,0,1,0,0,0,0,1,0,0,1,2,0,2,0,0,0,0,2,4,0,0,0,0,0,0,47,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,16.095890410958905,31.401529999999998,8
3570-5695-0002,3570,7.805,0.9049999999999996,39.040775,56.85534,FALSE,TRUE,FALSE,6,17,0,1,0,0,0,0,2,0,0,3,0,2,4,0,0,2,0,3,3,0,0,3,0,0,0,102,0,0,0,0,3,0,0,1,0,0,0,0,2,1,0,3,0,9,0,0,14.782608695652174,17.814565,14.5
2300-131720-0025,2300,15.28,2.5300000000000016,-140.11023,61.13757,FALSE,TRUE,FALSE,7,28,0,0,0,0,0,0,4,1,0,2,0,1,5,4,1,4,0,4,5,0,1,3,0,0,0,145,0,7,0,1,10,1,0,0,0,0,0,0,0,1,0,1,0,17,0,1,11.372549019607845,201.24779999999998,21
1221-135766-0011,1221,21.345,3.775000999999997,42.01682,62.93179,FALSE,TRUE,FALSE,14,31,0,2,0,1,0,0,5,2,0,4,0,0,9,1,0,3,0,10,4,0,0,4,0,0,0,205,0,6,0,0,16,2,1,0,1,0,0,0,1,2,1,1,3,14,0,0,11.667615917337272,20.914969999999997,29.5
7176-92135-0043,7176,13.28,2.349999999999998,33.526535,57.71188,FALSE,TRUE,FALSE,10,20,1,2,0,1,1,0,3,0,0,2,0,1,5,1,1,2,0,3,5,0,0,2,0,0,0,159,0,8,0,0,10,1,0,0,0,0,0,0,1,1,0,0,3,14,1,0,14.547118023787737,24.185344999999998,20
2830-3980-0051,2830,6.44,1.2400000000000004,51.69238,62.781982,FALSE,TRUE,FALSE,8,9,1,1,0,0,0,0,4,0,0,2,0,1,0,0,0,0,0,1,1,0,4,2,0,0,0,78,0,3,0,2,3,0,0,0,0,0,0,0,0,0,0,2,2,7,0,0,15,11.089602,12.5
4446-2273-0029,4446,3.3,0.7699999999999997,31.498304,60.08921,FALSE,TRUE,FALSE,1,9,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,2,2,0,1,1,0,0,0,37,0,1,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,14.624505928853754,28.590906,5.5
7729-102255-0044,7729,17.105,2.845000999999999,20.870441,58.670956,FALSE,TRUE,FALSE,15,23,0,2,1,0,0,1,5,0,0,6,0,3,3,2,0,2,0,4,6,0,0,3,0,0,0,168,0,4,0,1,9,0,0,1,0,1,0,0,1,0,1,5,0,19,1,0,11.781206997279593,37.800515,26.5
5639-40744-0004,5639,12.475,2.0550000000000006,12.140897,55.43619,FALSE,TRUE,FALSE,9,13,0,2,1,0,0,0,0,0,0,6,1,1,2,1,1,1,0,3,3,0,0,0,0,0,0,134,0,3,0,1,6,1,0,0,1,0,0,0,4,0,0,1,1,12,0,0,12.85988483685221,43.295293,15.5
4970-29093-0003,4970,15.355,2.925000000000003,2.0010107,60.77274,FALSE,TRUE,FALSE,7,20,0,0,0,0,1,0,2,0,0,4,0,2,3,1,1,2,0,4,6,0,0,1,0,0,0,160,0,9,0,0,7,0,0,0,3,0,0,0,1,0,0,3,1,16,0,0,12.872083668543848,58.7717293,17
4446-2271-0010,4446,3.135,0.565,26.27401,55.633896,FALSE,TRUE,FALSE,2,7,0,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,2,1,0,1,0,0,0,0,39,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,15.175097276264593,29.359886,5.5
2094-142345-0003,2094,14.675,4.824999999999999,47.99747,67.21301,FALSE,TRUE,TRUE,11,13,1,0,1,0,1,0,1,0,0,7,0,2,2,0,0,0,0,6,2,0,0,1,1,0,0,110,0,3,0,2,8,0,0,0,4,0,0,0,1,0,0,2,1,8,0,0,11.167512690355329,19.215539999999997,17.5
