file,speaker,duration,silence_duration,silence_intensity,s_intensity,no_surrounding_silence,has_s,audio_peaked,primary_environment_count,secondary_environment_count,UWUH_L,sil_HH,sil_F,F_sil,W_UWUH,TH_sil,vowel_vowel,V_sil,sil_TH,vowel_R,Y_vowel,vowel_D_vowel,vowel_L,vowel_sil,sil_DH,vowel_T_vowel,DH_sil,L_vowel,R_vowel,sil_V,Y_UWUH,W_vowel,sil_SSH,AE_R,AY_R,nonsilence_count,ER_R,nasal_vowel,sil_ZZH,AA_R,silence_count,sil_PTK,UH_R,IY_R,AO_R,UW_R,OW_R,AW_R,EH_R,sil_BDG,AH_R,vowel_PK_vowel,vowel_BG_vowel,vowel_nasal,IH_R,EY_R,phones_per_second,snr,weighting
5142-33396-0039,5142,1.995,0.475,30.298277,49.56483,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11.842105263157894,19.266553000000002,0
672-122797-0072,672,7.94,2.09,36.465286,62.732544,FALSE,TRUE,FALSE,5,8,0,0,0,0,0,0,2,0,0,3,0,0,2,1,2,0,0,1,1,0,0,1,0,0,0,57,0,2,0,1,5,0,0,0,0,0,0,0,2,0,0,0,1,4,0,0,9.743589743589743,26.267257999999998,9
5142-33396-0059,5142,5.47,0.7499999999999994,21.12921,54.901283,FALSE,TRUE,FALSE,5,14,0,0,0,0,0,1,1,0,0,3,2,0,2,2,1,0,0,1,3,0,2,1,0,0,0,58,0,2,0,0,4,0,1,0,1,0,0,0,0,0,0,2,0,5,1,0,12.288135593220337,33.772073,12
1580-141084-0050,1580,2.78,0.5799999999999998,30.619682,64.60785,FALSE,TRUE,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,11.818181818181817,33.988168,0.5
61-70968-0005,61,5.07,1.3500000000000003,46.44611,60.784386,FALSE,TRUE,FALSE,1,10,0,0,0,0,0,0,1,0,0,0,0,3,1,1,1,1,0,1,0,0,0,2,0,0,0,43,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11.559139784946238,14.338276,6
2094-142345-0024,2094,5.27,1.5999999999999994,51.197247,71.44299,FALSE,TRUE,FALSE,3,6,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,1,0,0,1,0,0,2,0,0,1,36,0,3,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,9.809264305177113,20.245742999999997,6
7021-85628-0017,7021,2.155,0.6949999999999998,14.727349,48.75383,FALSE,TRUE,FALSE,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.589041095890412,34.026481000000004,2
260-123440-0003,260,3.585,0.7550000000000001,28.951933,60.49713,FALSE,TRUE,FALSE,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,29,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,10.247349823321555,31.545196999999998,1.5
5142-33396-0051,5142,5.57,0.4800000000000005,26.205755,54.98725,FALSE,TRUE,FALSE,1,16,0,0,0,0,0,0,1,0,0,0,0,0,4,2,0,1,0,3,2,0,2,2,0,0,0,64,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,12.57367387033399,28.781495000000003,9
8224-274384-0000,8224,7.605,1.885000000000001,26.200384,59.146927,FALSE,TRUE,FALSE,4,8,0,1,0,0,0,0,1,0,0,2,0,0,3,1,0,0,0,2,2,0,0,0,1,1,0,56,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,9,1,0,9.79020979020979,32.946543,8
1580-141083-0046,1580,3.53,0.8499999999999998,31.45864,58.172142,FALSE,TRUE,FALSE,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,35,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,13.059701492537313,26.713502000000002,2.5
5142-33396-0067,5142,5.565,0.5350000000000005,22.249231,NA,FALSE,FALSE,FALSE,4,11,0,0,0,0,0,0,2,1,0,1,1,0,1,0,0,2,0,0,1,0,3,3,0,0,0,64,0,2,0,1,3,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,12.72365805168986,NA,9.5
8463-294828-0000,8463,3.615,1.1350000000000002,26.923592,62.834152,FALSE,TRUE,FALSE,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,20,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.064516129032258,35.910560000000004,1.5
2300-131720-0036,2300,7.085,1.4449999999999994,-117.496185,62.44122,FALSE,TRUE,FALSE,4,11,0,0,0,0,0,0,3,0,0,1,0,1,1,1,1,2,0,2,2,0,1,0,0,0,0,76,0,5,0,0,3,0,1,0,0,0,0,0,0,0,0,1,1,12,0,0,13.475177304964538,179.937405,9.5
4992-41797-0011,4992,5.445,0.6350000000000001,23.677488,47.196526,FALSE,TRUE,FALSE,4,9,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,2,0,0,2,0,1,3,0,0,0,59,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3,0,3,0,0,12.266112266112264,23.519038,8.5
3575-170457-0054,3575,8.005,1.5650000000000008,35.278404,56.322014,FALSE,TRUE,FALSE,5,16,0,0,1,0,0,1,3,0,0,0,0,2,3,3,0,3,0,1,3,0,1,0,2,0,0,83,0,1,0,0,8,0,0,0,0,0,0,0,0,1,0,0,1,6,0,0,12.888198757763977,21.04361,13
