file,speaker,duration,silence_duration,silence_intensity,s_intensity,no_surrounding_silence,has_s,audio_peaked,primary_environment_count,secondary_environment_count,UWUH_L,sil_HH,sil_F,F_sil,W_UWUH,TH_sil,vowel_vowel,V_sil,sil_TH,vowel_R,Y_vowel,vowel_D_vowel,vowel_L,vowel_sil,sil_DH,vowel_T_vowel,DH_sil,L_vowel,R_vowel,sil_V,Y_UWUH,W_vowel,sil_SSH,AE_R,AY_R,nonsilence_count,ER_R,nasal_vowel,sil_ZZH,AA_R,silence_count,sil_PTK,UH_R,IY_R,AO_R,UW_R,OW_R,AW_R,EH_R,sil_BDG,AH_R,vowel_PK_vowel,vowel_BG_vowel,vowel_nasal,IH_R,EY_R,phones_per_second,snr,weighting
1320-122617-0010,1320,10,1.6800000000000004,35.92062,60.089165,FALSE,TRUE,FALSE,5,19,0,0,0,0,1,0,1,0,0,3,0,1,2,1,2,5,0,1,5,0,1,1,0,0,0,103,0,2,0,0,4,0,1,0,1,0,0,0,0,0,0,2,1,7,1,0,12.379807692307692,24.168545,14.5
3570-5696-0010,3570,7.57,0.7600000000000007,39.7019,57.991955,FALSE,TRUE,FALSE,5,17,0,0,0,0,0,1,1,0,0,3,0,1,4,0,0,3,0,2,2,0,3,2,0,0,0,102,0,6,0,1,3,0,0,0,1,0,0,0,1,0,0,4,2,12,0,0,14.97797356828194,18.290054999999995,13.5
4507-16021-0030,4507,14.79,2.3599999999999985,29.226862,51.48718,FALSE,TRUE,FALSE,6,21,0,0,0,0,0,0,3,0,0,3,0,1,2,4,1,2,0,2,4,0,0,5,0,0,0,121,0,4,0,0,9,0,1,0,2,0,0,0,0,0,0,2,0,13,0,0,9.734513274336283,22.260318,16.5
1188-133604-0034,1188,20.905,5.195000000000002,32.91115,57.35564,FALSE,TRUE,FALSE,10,28,1,0,0,0,0,0,5,0,0,4,0,1,4,2,1,5,0,6,3,0,2,4,0,0,0,213,0,9,0,0,10,0,0,0,2,0,0,0,2,1,0,1,0,22,0,0,13.558243157224698,24.444490000000002,24
2300-131720-0003,2300,16.76,2.5600000000000023,-147.5611,61.649906,FALSE,TRUE,FALSE,8,25,0,0,1,0,0,0,4,0,0,3,1,2,5,1,1,3,0,3,4,0,2,3,1,0,0,154,0,6,0,0,9,0,0,0,1,0,0,0,1,0,0,1,1,18,1,0,10.845070422535212,209.211006,20.5
1580-141084-0046,1580,2.35,0.62,31.480373,58.412296,FALSE,TRUE,FALSE,1,5,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,27,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15.606936416184972,26.931922999999998,3.5
7127-75946-0028,7127,16.075,3.1949999999999994,38.554543,55.813683,FALSE,TRUE,FALSE,5,20,0,1,0,0,0,0,1,0,0,3,1,3,4,2,0,1,0,3,5,0,0,1,2,0,0,140,0,3,0,1,7,0,0,0,0,0,0,0,1,1,1,1,1,9,0,0,10.869565217391305,17.259139999999995,15
2961-960-0009,2961,11.86,2.6199999999999997,36.069077,54.0187,FALSE,TRUE,FALSE,5,21,0,0,0,0,0,0,4,0,0,1,0,3,4,1,2,0,0,5,3,0,0,3,0,0,0,107,0,8,0,0,9,0,0,0,0,0,0,0,1,0,0,1,1,19,0,0,11.58008658008658,17.949623000000003,15.5
2094-142345-0013,2094,14.25,3.040000000000001,44.67258,63.64727,FALSE,TRUE,TRUE,10,19,0,2,0,1,0,0,3,0,0,4,0,1,2,2,0,3,0,4,3,0,0,4,1,0,0,132,0,4,0,0,12,2,0,0,1,0,0,0,2,0,0,3,1,15,1,0,11.775200713648529,18.974689999999995,19.5
4970-29093-0001,4970,11.92,2.549999999999998,5.009122,57.255856,FALSE,TRUE,FALSE,12,16,0,1,0,0,0,0,3,0,0,8,1,0,4,0,2,1,0,1,5,0,0,2,0,0,0,105,0,7,0,1,7,1,0,1,2,0,0,0,4,0,0,3,1,14,0,0,11.205976520811099,52.246734000000004,20
