file,speaker,duration,silence_duration,silence_intensity,s_intensity,no_surrounding_silence,has_s,audio_peaked,primary_environment_count,secondary_environment_count,UWUH_L,sil_HH,sil_F,F_sil,W_UWUH,TH_sil,vowel_vowel,V_sil,sil_TH,vowel_R,Y_vowel,vowel_D_vowel,vowel_L,vowel_sil,sil_DH,vowel_T_vowel,DH_sil,L_vowel,R_vowel,sil_V,Y_UWUH,W_vowel,sil_SSH,AE_R,AY_R,nonsilence_count,ER_R,nasal_vowel,sil_ZZH,AA_R,silence_count,sil_PTK,UH_R,IY_R,AO_R,UW_R,OW_R,AW_R,EH_R,sil_BDG,AH_R,vowel_PK_vowel,vowel_BG_vowel,vowel_nasal,IH_R,EY_R,phones_per_second,snr,weighting
7021-85628-0015,7021,11.545,2.315000000000002,18.58776,52.819782,FALSE,TRUE,FALSE,2,7,0,1,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,1,0,0,2,0,0,0,96,0,2,0,0,10,0,0,0,0,0,0,0,0,1,0,1,1,11,0,0,10.400866738894912,34.232022,5.5
1320-122617-0041,1320,4.15,0.4600000000000002,48.982243,61.0763,FALSE,TRUE,FALSE,2,4,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,53,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,14.363143631436312,12.094057000000006,4
4970-29093-0010,4970,14.3,2.7400000000000015,1.7367357,54.47039,FALSE,TRUE,FALSE,7,19,0,1,0,1,0,0,2,0,0,3,0,3,3,0,1,3,0,3,3,0,0,3,0,0,0,156,0,7,0,0,9,1,0,0,3,0,0,0,0,0,0,3,0,21,0,0,13.494809688581316,52.733654300000005,16.5
8224-274384-0011,8224,22.36,5.010000999999999,28.134703,57.572163,FALSE,TRUE,FALSE,13,24,0,3,0,0,1,0,6,0,0,3,0,3,5,1,1,2,0,3,4,0,0,5,0,0,0,196,0,6,0,1,13,1,1,0,0,0,0,0,0,2,0,5,1,19,1,0,11.296830622295714,29.437460000000005,25
4446-2275-0016,4446,7.3,2.33,32.432163,64.855545,FALSE,TRUE,FALSE,6,10,0,1,0,0,0,0,2,0,0,3,0,1,2,1,0,0,0,2,3,0,0,1,0,0,0,71,0,3,0,1,5,1,0,0,1,0,0,0,1,1,0,1,1,7,0,0,14.285714285714286,32.423382000000004,11
8230-279154-0018,8230,11.845,1.835000000000001,26.671082,51.747562,FALSE,TRUE,FALSE,8,16,0,0,0,0,0,0,3,0,0,5,0,1,2,1,2,2,0,1,6,0,0,1,0,0,0,106,0,4,0,0,13,0,0,0,2,1,0,0,1,0,1,0,0,15,0,0,10.589410589410589,25.076480000000004,16
4446-2273-0002,4446,3.295,0.5850000000000002,28.391073,52.652588,FALSE,TRUE,FALSE,3,7,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,2,2,0,0,0,0,0,0,39,0,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,14.391143911439114,24.261515000000003,6.5
1089-134686-0024,1089,11.655,1.6749999999999978,28.454887,55.20967,FALSE,TRUE,FALSE,2,10,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,1,0,1,4,0,0,1,0,0,0,120,0,2,0,0,7,0,0,0,0,0,0,0,1,0,0,1,1,14,0,0,12.024048096192383,26.754783000000003,7
8555-292519-0003,8555,14.58,2.8800000000000003,16.28391,59.515068,FALSE,TRUE,FALSE,6,19,0,1,0,0,0,0,3,0,0,2,0,0,7,1,1,0,0,4,4,0,0,2,1,0,0,104,0,3,0,1,10,0,0,0,1,0,0,0,0,1,0,1,1,9,0,0,8.88888888888889,43.231158,15.5
3575-170457-0026,3575,16.735,3.334999999999998,39.92133,55.431892,FALSE,TRUE,FALSE,15,35,0,1,0,0,0,0,8,0,0,6,0,0,8,1,0,5,0,8,6,0,6,1,1,0,0,182,1,6,0,3,8,3,2,0,0,0,0,0,0,0,0,2,2,11,0,0,13.582089552238804,15.510562,32.5
