file,speaker,duration,silence_duration,silence_intensity,s_intensity,no_surrounding_silence,has_s,audio_peaked,primary_environment_count,secondary_environment_count,UWUH_L,sil_HH,sil_F,F_sil,W_UWUH,TH_sil,vowel_vowel,V_sil,sil_TH,vowel_R,Y_vowel,vowel_D_vowel,vowel_L,vowel_sil,sil_DH,vowel_T_vowel,DH_sil,L_vowel,R_vowel,sil_V,Y_UWUH,W_vowel,sil_SSH,AE_R,AY_R,nonsilence_count,ER_R,nasal_vowel,sil_ZZH,AA_R,silence_count,sil_PTK,UH_R,IY_R,AO_R,UW_R,OW_R,AW_R,EH_R,sil_BDG,AH_R,vowel_PK_vowel,vowel_BG_vowel,vowel_nasal,IH_R,EY_R,phones_per_second,snr,weighting
7127-75947-0017,7127,2.665,0.7450000000000001,24.064547,62.60664,FALSE,TRUE,FALSE,2,7,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,22,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.458333333333334,38.542092999999994,5.5
1284-134647-0006,1284,10.155,1.7549999999999988,44.640594,53.66183,FALSE,TRUE,FALSE,2,11,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,2,0,2,1,1,1,1,0,0,0,115,0,4,0,0,7,0,0,0,1,0,0,0,0,2,0,3,0,11,0,0,13.69047619047619,9.021236000000002,7.5
3570-5694-0020,3570,14.035,1.8050000000000015,16.603754,53.322437,FALSE,TRUE,FALSE,9,24,0,0,0,0,0,0,2,0,0,7,0,1,3,1,2,3,0,7,5,0,0,2,2,0,1,166,0,6,0,3,8,0,0,0,2,0,0,0,1,0,0,3,2,17,0,0,13.573180703188882,36.718683,21
5142-36600-0001,5142,20.185,2.0049990000000006,22.986767,53.845535,FALSE,TRUE,FALSE,19,39,0,0,0,0,0,0,11,0,0,8,0,2,7,2,1,3,0,9,9,0,1,5,0,0,0,245,0,9,0,1,8,0,0,1,6,0,0,0,0,1,0,2,2,24,0,0,13.476346893490271,30.858767999999998,38.5
1188-133604-0003,1188,12.61,2.959999999999999,35.80637,53.5096,FALSE,TRUE,FALSE,5,13,0,0,0,0,0,0,3,0,0,2,0,2,2,0,1,2,0,1,3,0,1,1,0,0,0,128,0,5,0,0,5,0,0,0,2,0,0,0,0,1,0,3,0,15,0,0,13.264248704663212,17.703229999999998,11.5
3729-6852-0045,3729,20.375,3.0850000000000035,31.086851,52.86747,FALSE,TRUE,FALSE,12,36,0,1,0,1,1,0,6,0,0,3,0,4,7,1,0,5,0,6,3,0,1,9,1,0,0,224,0,5,0,1,8,0,0,1,1,0,0,0,0,2,0,6,3,17,0,0,12.955465587044538,21.780618999999998,30
3729-6852-0041,3729,10.895,2.3749999999999987,32.19762,55.501736,FALSE,TRUE,FALSE,6,20,0,0,0,0,0,0,2,0,0,4,0,2,4,1,1,3,0,4,3,0,0,2,0,0,0,107,0,2,0,0,4,0,0,1,1,0,0,0,1,0,0,1,1,5,1,0,12.558685446009388,23.304116,16
3570-5694-0021,3570,10.555,1.235,30.406637,57.54927,FALSE,TRUE,FALSE,10,23,0,1,0,0,0,0,5,0,0,4,0,3,3,2,0,1,0,5,5,0,0,4,0,0,1,134,0,7,0,0,5,0,0,0,0,0,0,0,2,0,1,0,0,15,0,0,14.377682403433475,27.142633,21.5
5142-36377-0022,5142,11.245,0.905,30.161665,55.6407,FALSE,TRUE,FALSE,4,22,0,0,0,0,0,0,0,1,0,3,1,2,6,1,0,1,0,3,2,0,1,5,1,0,0,142,0,7,0,0,5,1,0,0,1,0,0,0,2,0,0,1,3,13,0,0,13.733075435203094,25.479035000000003,15
1089-134691-0010,1089,3.195,1.7649999999999997,35.486217,NA,FALSE,FALSE,FALSE,2,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,22,0,1,0,1,3,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,15.384615384615383,NA,3.5
