file,speaker,duration,silence_duration,silence_intensity,s_intensity,no_surrounding_silence,has_s,audio_peaked,primary_environment_count,secondary_environment_count,UWUH_L,sil_HH,sil_F,F_sil,W_UWUH,TH_sil,vowel_vowel,V_sil,sil_TH,vowel_R,Y_vowel,vowel_D_vowel,vowel_L,vowel_sil,sil_DH,vowel_T_vowel,DH_sil,L_vowel,R_vowel,sil_V,Y_UWUH,W_vowel,sil_SSH,AE_R,AY_R,nonsilence_count,ER_R,nasal_vowel,sil_ZZH,AA_R,silence_count,sil_PTK,UH_R,IY_R,AO_R,UW_R,OW_R,AW_R,EH_R,sil_BDG,AH_R,vowel_PK_vowel,vowel_BG_vowel,vowel_nasal,IH_R,EY_R,phones_per_second,snr,weighting
121-121726-0009,121,7.26,1.9399999999999995,-121.184074,56.873886,FALSE,TRUE,FALSE,5,9,0,1,1,0,0,0,0,0,0,3,0,0,2,0,0,1,0,2,2,0,0,2,0,0,0,49,0,0,0,0,5,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,9.210526315789473,178.05795999999998,9.5
2961-960-0017,2961,7.87,1.3199999999999998,36.187645,52.767757,FALSE,TRUE,FALSE,5,8,0,0,0,0,0,0,3,0,0,2,0,1,0,1,0,1,0,0,1,0,2,2,0,0,0,77,0,4,0,1,4,0,0,0,1,0,0,0,0,0,0,1,0,8,0,0,11.755725190839694,16.580112,9
7127-75946-0004,7127,4.49,1.62,38.96081,58.16924,FALSE,TRUE,FALSE,2,7,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,3,0,1,0,0,0,1,1,0,0,36,0,3,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,12.543554006968641,19.20843,5.5
8224-274384-0005,8224,8.745,2.0649999999999986,29.3862,58.45254,FALSE,TRUE,FALSE,2,5,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,69,1,3,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,7,0,0,10.329341317365268,29.06634,4.5
4992-41806-0001,4992,8.31,1.1300000000000003,27.565714,50.202465,FALSE,TRUE,FALSE,6,8,0,0,0,0,0,0,2,0,0,4,0,1,0,0,0,1,0,1,3,0,0,2,0,0,0,84,0,5,0,1,3,1,0,0,0,0,0,0,3,0,0,0,1,9,0,0,11.6991643454039,22.636750999999997,10
1580-141084-0034,1580,4.49,0.9,35.276806,61.055504,FALSE,TRUE,FALSE,2,11,0,0,0,0,0,0,2,0,0,0,0,1,3,1,0,1,0,1,1,0,1,2,0,0,0,49,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,13.649025069637881,25.778698,7.5
1188-133604-0029,1188,3.705,1.5650000000000002,34.48542,57.56133,FALSE,TRUE,FALSE,4,6,0,0,0,0,0,0,0,0,0,4,0,1,0,1,1,0,0,2,1,0,0,0,0,0,1,28,0,0,0,1,3,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,13.084112149532713,23.07591,7
1089-134686-0013,1089,7.915,1.4350000000000005,28.3369,55.785686,FALSE,TRUE,FALSE,2,8,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,2,0,0,3,0,0,0,78,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,2,1,9,0,0,12.037037037037038,27.448786,6
237-134493-0011,237,5.035,0.5850000000000004,39.256886,60.157776,FALSE,TRUE,FALSE,2,7,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,2,1,0,0,0,50,0,3,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,7,0,0,11.235955056179778,20.900889999999997,5.5
1580-141084-0002,1580,5.905,0.7150000000000001,31.85685,63.518173,FALSE,TRUE,FALSE,2,13,0,0,0,0,0,0,2,0,0,0,0,0,3,0,1,4,0,1,1,0,1,2,0,0,0,72,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,13.872832369942195,31.661322999999996,8.5
