file,speaker,duration,silence_duration,silence_intensity,s_intensity,no_surrounding_silence,has_s,audio_peaked,primary_environment_count,secondary_environment_count,UWUH_L,sil_HH,sil_F,F_sil,W_UWUH,TH_sil,vowel_vowel,V_sil,sil_TH,vowel_R,Y_vowel,vowel_D_vowel,vowel_L,vowel_sil,sil_DH,vowel_T_vowel,DH_sil,L_vowel,R_vowel,sil_V,Y_UWUH,W_vowel,sil_SSH,AE_R,AY_R,nonsilence_count,ER_R,nasal_vowel,sil_ZZH,AA_R,silence_count,sil_PTK,UH_R,IY_R,AO_R,UW_R,OW_R,AW_R,EH_R,sil_BDG,AH_R,vowel_PK_vowel,vowel_BG_vowel,vowel_nasal,IH_R,EY_R,phones_per_second,snr,weighting
1089-134691-0022,1089,5.635,0.8949999999999998,34.78297,60.01259,FALSE,TRUE,FALSE,4,7,0,1,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,1,2,0,0,2,0,0,0,54,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,11.39240506329114,25.229620000000004,7.5
1284-1181-0014,1284,7.92,0.8800000000000006,35.48077,58.029324,FALSE,TRUE,FALSE,2,14,0,1,0,0,0,0,1,0,0,0,0,2,7,0,0,1,0,1,2,0,0,1,1,0,0,88,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1,4,0,0,12.500000000000002,22.548554000000003,9
7021-79730-0002,7021,2.69,1.19,9.5872135,NA,FALSE,FALSE,FALSE,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,17,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,11.333333333333334,NA,1.5
1995-1826-0006,1995,2.4550625,0.4850619999999999,14.260696,NA,FALSE,FALSE,FALSE,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,19,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,9.644667602876243,NA,1
3729-6852-0039,3729,8.825,1.2749999999999992,35.9876,53.870056,FALSE,TRUE,FALSE,4,13,0,1,0,0,0,0,2,0,0,1,0,2,3,0,0,2,0,2,3,0,0,1,0,0,0,93,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,12.317880794701987,17.882455999999998,10.5
237-134493-0008,237,2.305,0.8650000000000001,39.403,NA,FALSE,FALSE,FALSE,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,15,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10.416666666666668,NA,2
1995-1837-0001,1995,8.73,0.9399999999999998,40.00852,56.925583,FALSE,TRUE,FALSE,4,14,0,0,0,1,0,0,2,0,0,1,0,0,3,1,2,1,0,2,3,0,0,2,0,0,0,95,0,3,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,12.19512195121951,16.917063000000006,11
5142-33396-0058,5142,3.225,0.425,25.633469,47.74381,FALSE,TRUE,FALSE,1,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,30,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,2,1,3,0,0,10.714285714285714,22.110341000000002,2.5
6829-68769-0008,6829,4.74,0.8600000000000003,33.00805,NA,FALSE,FALSE,FALSE,3,11,0,0,1,0,0,0,1,0,0,1,0,0,3,1,0,1,0,1,1,0,1,3,0,0,0,52,0,3,0,0,4,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,13.402061855670103,NA,8.5
5105-28241-0007,5105,1.88,0.6199999999999999,41.33405,63.797215,FALSE,TRUE,FALSE,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,17,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,13.492063492063492,22.463165000000004,4
